Japanese,English
と,When
年,Year
で,and
だ,is
月,Moon
も,and
から,from
日,Day
成る,Become
こと,thing
有る,Have
よる,evening
や,or
など,Such
言う,To tell
日本,Japan
為,For
この,this
人,Man
その,That
まで,to
もの,thing
又,or
これ,this
行う,conduct
出来る,Be ready
駅,station
国,Country
より,Than
大学,University
現在,Current
後,rear
線,line
ぬ,Lantern
放送,broadcast
号,issue
軍,army
無い,No
部,Department
持つ,Hold
所,Place
名,Name
回,times
世界,world
時,Time
戦,War
時代,Era
東京,Tokyo
おく,back
呼ぶ,Call
その後,after that
会,Meeting
それ,that
機,Machine
会う,meet
受ける,receive
多い,many
選手,player
場合,case
対する,Vain
しかし,However
つく,arrive
昭和,Showa
作品,the work
地,Earth
中,During ~
使用,use
共に,both
学校,school
語,word
彼,he
行く,go
アメリカ,America
当時,at that time
番組,program
車,car
社,Shrine
川,river
映画,movie
位,Position
見る,look
テレビ,tv set
系,system
研究,the study
町,town
東,east
存在,Existence
活動,Activity
発売,Release
他,other
出身,where one is from
年代,Age
会社,Company
権,Right
開発,development
分,Part
西,West
鉄道,Railway
法,Law
局,Bureau
更に,Further
のみ,only
間,while
山,Mountain
式,formula
島,island
なお,note that
可能,Possible
ドイツ,Germany
代表,representative
使う,use
同じ,same
曲,song
地域,area
作,Work
事,case
版,Plate
取る,take
登場,Appearance
チーム,team
世,world
時間,time
於ける,In
中心,center
大会,Conference
多く,Many
南,South
シリーズ,series
賞,award
北,North
開始,start
フランス,France
一部,part
始める,start
平成,Heisei
知る,know
子,Child
ゲーム,game
道,road
角,corner
用いる,Use
および,and
館,Mansion
場,Place
体,body
世紀,century
音楽,music
参加,Participation
発表,publication
記録,record
掛ける,Put on
高い,high
利用,use
際,edge
出場,Participation
国際,international
リーグ,league
所属,Affiliation
務める,serve
関係,relationship
考える,think
イギリス,England
生まれる,to be born
入る,come in
度,Every time
州,state
全て,all
明治,Meiji
生,Raw
点,point
力,Power
良い,good
だけ,only
王,king
試合,game
得る,obtain
優勝,win
都市,City
含む,include
アルバム,album
込む,In
問題,problem
シーズン,Season
開催,hold
大阪,Osaka
位置,position
監督,directed by
上,Up
主,main
設置,Installation
